Time,Plot 1,Plot 2,Actual
1,2.216666667,0.7,10.5
2,0,0,0
3,0,0,0
4,0,0,0
5,3.15,1.4,7
6,62.18333333,25.78333333,81.2
7,311.64,220.15,465.5
8,45.15,18.43333333,68.6
9,46.43333333,21.93333333,71.4
10,0.7,0.583333333,0.7
11,0.583333333,0.116666667,5.6
12,66.03333333,37.65416667,91
13,33.6,18.2,61.6
14,3.15,0.7,6.3
